Candidate,Overall,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Biden,88.5,0.0,2.1,35.4,0.0,99.9,76.8,98.3,97.0,100.0,49.0,18.5,100.0,0.0,99.1,3.8,55.1,0.1,0.0,0.5,82.4,99.9,99.9,84.6,72.2,2.8,4.8,4.7,0.0,72.9,82.1,98.5,90.0,99.9,59.0,0.1,57.7,0.0,94.7,61.4,99.2,12.9,0.2,0.1,16.7,0.2,99.9,74.1,98.4,0.0,64.6,0.0
Sanders,80.5,0.0,2.0,11.0,0.0,99.9,76.7,98.3,96.9,100.0,49.1,18.4,100.0,0.0,99.1,3.8,43.1,0.1,0.0,0.4,82.2,99.9,99.9,84.2,72.4,2.8,4.8,4.8,0.0,73.0,68.1,98.4,90.2,99.9,53.2,0.1,48.2,0.0,94.7,61.8,99.3,5.0,0.2,0.1,5.8,0.2,99.9,74.0,98.4,0.0,64.8,0.0
Harris,76.4,0.0,2.0,12.9,0.0,99.9,76.5,98.3,97.1,100.0,49.2,18.6,100.0,0.0,99.1,3.9,27.5,0.1,0.0,0.5,82.1,99.9,99.9,84.7,72.1,2.9,4.7,4.7,0.0,73.3,72.8,98.5,90.2,99.9,42.5,0.1,39.4,0.0,94.8,61.9,99.3,2.7,0.2,0.1,4.9,0.2,99.9,74.1,98.3,0.0,64.6,0.0
Warren,90.4,0.0,2.1,11.4,0.0,99.9,76.4,98.3,97.1,100.0,72.9,18.4,100.0,0.0,99.1,7.1,32.2,0.1,9.7,0.5,82.2,99.9,99.9,79.2,72.2,2.9,45.3,12.1,0.0,73.3,62.5,98.5,90.2,99.9,20.0,2.8,42.9,0.0,94.8,78.6,99.2,4.8,0.2,0.1,5.7,0.2,99.9,73.9,98.5,16.4,81.0,0.0
O'Rourke,72.9,0.0,2.1,20.4,0.0,99.9,76.7,98.2,97.1,100.0,48.7,18.5,100.0,0.0,99.1,3.8,27.5,0.1,0.0,0.4,82.3,99.9,99.9,70.0,72.3,2.9,4.7,4.9,0.0,73.1,73.7,98.5,90.0,99.9,38.2,0.1,39.5,0.0,94.8,61.9,99.2,2.6,0.2,0.1,3.8,0.2,99.9,73.9,98.4,0.0,64.8,0.0
Biden+Schultz,80.9,0.0,2.1,20.1,0.0,99.9,76.6,98.2,97.0,100.0,48.9,18.4,100.0,0.0,99.2,3.9,44.4,0.1,0.0,0.5,82.3,99.9,99.9,69.9,72.5,2.8,4.7,4.7,0.0,73.0,65.2,98.5,90.1,99.9,52.3,0.1,39.4,0.0,94.7,62.1,99.3,4.5,0.2,0.1,23.8,0.2,99.9,74.2,98.5,0.0,64.3,0.0
Sanders+Schultz,75.5,0.0,2.1,20.5,0.0,99.9,76.7,98.3,97.0,100.0,49.0,18.4,100.0,0.0,99.1,3.9,44.1,0.1,0.0,0.4,82.5,99.9,99.9,69.8,72.1,2.8,4.7,4.7,0.0,73.1,77.7,98.4,90.0,99.9,18.6,0.1,39.4,0.0,94.8,61.8,99.3,3.9,0.2,0.1,19.7,0.2,99.9,73.8,98.4,0.0,64.6,0.0
Harris+Schultz,71.3,0.0,2.2,20.5,0.0,99.9,76.6,98.3,96.9,100.0,48.9,18.6,100.0,0.0,99.1,3.8,44.4,0.1,0.0,0.5,82.5,99.9,99.9,69.9,72.6,2.8,4.7,4.9,0.0,73.3,65.4,98.5,90.0,99.9,18.9,0.1,39.1,0.0,94.7,61.8,99.3,4.5,0.3,0.1,6.3,0.2,99.9,74.3,98.4,0.0,64.6,0.0
Warren+Schultz,69.3,0.0,2.1,20.4,0.0,99.9,76.7,98.2,97.0,100.0,48.9,18.4,100.0,0.0,99.1,3.8,23.6,0.1,0.0,0.5,82.6,99.9,99.9,69.8,72.4,2.8,4.8,4.8,0.0,73.0,53.2,98.5,90.0,99.9,21.1,0.1,39.6,0.0,94.9,61.8,99.3,2.6,0.2,0.1,6.4,0.2,99.9,74.1,98.3,0.0,64.6,0.0
O'Rourke+Schultz,78.3,0.0,2.1,20.4,0.0,99.9,76.7,98.3,97.0,100.0,48.9,18.4,100.0,0.0,99.1,3.9,44.1,0.1,0.0,0.5,82.2,99.9,99.9,69.7,72.3,2.8,4.8,4.8,0.0,73.1,64.8,98.5,89.8,99.9,34.3,0.1,39.2,0.0,94.8,61.8,99.2,4.6,0.2,0.1,23.7,0.2,99.9,74.0,98.5,0.0,64.5,0.0
